"Geo","tick","run","random_seed"
"13.12146667725049 154.27207822062203 0.6674327671251058",401.0,1,1248708014
"223.713566743808 163.7344980202367 0.5770576926256927",401.0,1,1248708014
"140.26197381329018 359.7874651789861 0.603142695942712",401.0,1,1248708014
"320.6280059114912 4.031783305989583 0.6573710180046036",401.0,1,1248708014
"322.57516820607975 13.38378546085786 0.6258374765520308",401.0,1,1248708014
"365.8647824043163 66.0803636333071 0.6415395082129328",401.0,1,1248708014
"141.6083016686139 357.0500419048094 0.598987073325297",401.0,1,1248708014
"314.4120368514939 13.653302163999715 0.7963505587800402",401.0,1,1248708014
"315.801968880437 8.92399971368954 0.652942842925839",401.0,1,1248708014
"15.641571327373251 147.0334847167969 0.5780571417362962",401.0,1,1248708014
"364.4842221096398 72.68111560378976 0.6642566489714248",401.0,1,1248708014
"373.0033560848517 69.73586373124338 0.615306355868026",401.0,1,1248708014
"371.8731210757497 73.67759349322554 0.7617014668233287",401.0,1,1248708014
"16.948481028441435 154.2854928815463 0.6589611897681279",401.0,1,1248708014
"320.2361042296526 11.999368951292725 0.678144994052018",401.0,1,1248708014
"318.9166704575204 9.067268124787235 0.7301386319479438",401.0,1,1248708014
"323.5366871396342 3.054046819181193 0.6490888425695269",401.0,1,1248708014
"219.71011289463416 163.79238987194404 0.7206682615113661",401.0,1,1248708014
"19.85643846160152 155.6732597382833 0.7295686120780108",401.0,1,1248708014
"369.01122956446324 63.907608557406235 0.6496598629469053",401.0,1,1248708014
"370.12569150517845 65.60761023812552 0.617318879747598",401.0,1,1248708014
"319.79784420638634 7.871528446467837 0.7606381735976607",401.0,1,1248708014
"224.12548971629548 156.24150783238994 0.7046645622537815",401.0,1,1248708014
"316.6034080025829 16.035053943832725 0.7563270166878928",401.0,1,1248708014
"227.3436956476906 158.49569800368945 0.6342723393542663",401.0,1,1248708014
"321.6213244058091 9.659375830852587 0.7431100876473267",401.0,1,1248708014
"368.1965227371441 66.11790322736049 0.6750495916752276",401.0,1,1248708014
"18.121547472978815 153.5700388981671 0.7059736051560004",401.0,1,1248708014
"367.10627659011914 73.32036435530759 0.6973740590971159",401.0,1,1248708014
"12.085945946651686 157.15400771735935 0.7095173121859963",401.0,1,1248708014
"374.0627781446933 70.47517793650111 0.6793558513388332",401.0,1,1248708014
"320.3016346676463 9.194392235754426 0.6623565073344229",401.0,1,1248708014
"12.851972900680797 147.99037819853538 0.5797690820363097",401.0,1,1248708014
"364.51601998129297 68.56719217390108 0.7222692102079501",401.0,1,1248708014
"221.14694311816643 163.65743367558568 0.7265411423898516",401.0,1,1248708014
"370.28866854323445 64.39636914453398 0.6094463458339828",401.0,1,1248708014
"18.03753621880822 145.8730440768289 0.6604197766688011",401.0,1,1248708014
"227.33695394117274 159.7569464770922 0.6351472118940705",401.0,1,1248708014
"222.69155949306312 158.7845830477491 0.6393627042632554",401.0,1,1248708014
